d,taxi_time,gate_block_hour,runway_hour,rwy_day,distance,angle,shortest_path,distance_gate,distance_long,distance_else,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
1,10.9,5,5,1,1549.654054,360.7368423,1354.24344,71.15197278,891.6137929,586.8882881,1,0,9,3,1,0,0,5,1,0,0
1,10.01666667,6,6,16,1307.468694,473.7264548,1116.715856,64.61245246,565.111891,677.74435,1,0,6,3,3,0,0,4,2,0,0
1,22.78333333,5,5,30,3527.811542,623.2870588,3405.331427,68.04266946,2047.602118,1412.166755,1,0,7,5,2,0,0,3,1,0,0
0,5.283333333,22,22,5,1236.797107,331.810577,1029.110691,71.85325888,806.5635632,358.3802852,1,0,2,0,0,0,0,0,0,0,0
1,11.43333333,18,18,11,1648.575241,464.0903045,1387.204356,86.29883817,746.9421803,815.3342226,1,0,5,2,1,0,0,2,1,0,0
1,9.75,17,17,6,1372.259943,536.9722715,1115.834452,83.0918278,0.0,1289.168115,1,0,4,3,1,0,0,3,1,0,0
1,13.73333333,5,5,21,3545.171006,662.4479434,3348.644114,68.88588709,2008.432048,1467.853071,1,0,8,5,1,0,0,5,2,0,0
0,3.666666667,22,22,19,1321.537789,457.5806228,1048.643936,83.0918278,0.0,1238.445961,1,0,4,0,0,0,1,0,0,0,3
0,3.366666667,21,21,29,1341.501228,361.3285963,1062.391794,88.90901388,608.7054609,643.8867536,1,0,0,0,0,0,0,0,0,0,0
0,4.95,19,19,25,1832.117258,519.8715931,1581.361617,112.5747823,608.7054609,1110.837014,1,0,3,0,0,0,0,0,0,0,2
0,3.05,16,16,1,925.3435021,318.5512843,654.2997829,88.90901388,0.0,836.4344883,1,0,2,0,0,1,0,0,0,2,0
1,18.78333333,4,5,23,3412.933917,658.0928412,3217.250243,68.04266946,2008.432048,1336.459199,1,0,10,4,1,0,0,3,1,0,0
1,13.03333333,11,11,1,3382.34765,690.9908679,2830.555644,101.0491881,1014.046097,2267.252365,1,0,9,1,4,0,0,1,3,0,0
1,13.16666667,14,14,27,2607.516526,489.5548236,2523.828079,99.47767897,776.2808038,1731.758044,1,0,8,2,2,0,0,3,3,0,0
1,8.116666667,5,6,5,1685.034136,336.6825673,1460.757284,83.0918278,793.0457372,808.8965713,1,0,3,1,0,0,0,1,1,0,0
0,2.3,9,9,23,977.743491,360.1136086,721.1908266,71.15197278,0.0,906.5915182,1,0,5,0,0,1,0,0,0,2,3
0,3.183333333,19,19,6,1497.997579,308.4087808,1068.687877,71.15197278,806.5635632,620.2820431,1,0,0,0,0,0,0,0,0,0,0
0,7.583333333,19,18,26,2684.802049,614.7232591,2440.19727,106.4239204,1404.752039,1173.626089,1,0,1,0,0,0,0,0,0,0,0
1,9.6,14,14,5,1661.660612,315.96759,1387.204356,86.29883817,891.6137929,683.7479812,1,0,6,2,3,0,0,3,2,0,0
0,5.466666667,10,10,8,1896.979611,666.5047674,1631.988132,127.7352259,0.0,1769.244385,1,0,8,0,0,1,1,0,0,4,3
0,7.8,10,10,20,2407.430832,406.5031323,2092.363813,68.88588709,1019.76446,1318.780485,-1,0,8,0,0,0,2,0,0,0,4
0,3.0,10,10,22,1426.856632,417.6932337,982.240405,83.0918278,0.0,1343.764804,1,0,6,0,0,0,0,0,0,2,4
1,12.55,4,4,9,1961.141542,380.6153925,1521.748406,139.4792256,974.8760265,846.7862898,1,0,14,8,0,0,0,7,1,0,0
